2025-01-31 18:58:39,259 [DEBUG] views - Hotel: Best Western Red Coach Inn | Price: 173 
2025-01-31 18:58:39,259 [DEBUG] views - Hotel: San Francisco Proper a Member of Design Hotels | Price: 241 
2025-01-31 18:58:39,259 [DEBUG] views - Hotel: Motel 6 San Francisco CA Civic Center | Price: 129 
2025-01-31 18:58:39,260 [DEBUG] views - Hotel: SF Central Hotel | Price: 112 
2025-01-31 18:58:39,260 [DEBUG] views - Hotel: Signature San Francisco | Price: 135 
2025-01-31 19:00:19,425 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=1km, Search ID=5103
2025-01-31 19:00:35,923 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=1km, Search ID=5815
2025-01-31 19:04:27,065 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=1km, Search ID=1627
2025-01-31 19:12:37,875 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=1km, Search ID=2559
2025-01-31 19:14:16,950 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=1km, Search ID=6357
2025-02-18 22:30:47,294 [INFO] views - User searching hotels: Location=(37.7749, -122.4194), Adults=1, Radius=2km, Search ID=9985, Create Time=2025-02-18 22:30:47
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: Hotel Zelos San Francisco | Location: (37.78532, -122.40551)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: The Cartwright Hotel - Union Square, BW Premier Collection | Location: (37.78929, -122.40918)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: Four Seasons Hotel San Francisco | Location: (37.78634, -122.40425)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: The Mosser | Location: (37.78501, -122.40516)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: HOLIDAY INN GOLDEN GATEWAY | Location: (37.78992, -122.42193)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: Grand Hyatt San Francisco | Location: (37.78905, -122.40727)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: San Francisco Marriott Marquis | Location: (37.78497, -122.40396)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: JW Marriott San Francisco Union Square | Location: (37.78819, -122.41043)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: San Francisco Marriott Union Square | Location: (37.78937, -122.40826)
2025-02-18 22:30:50,607 [DEBUG] views - Processing hotel: Petite Auberge | Location: (37.78973, -122.41147)
2025-02-18 22:30:50,611 [DEBUG] views - Processing hotel: White Swan Inn | Location: (37.7897, -122.4112)
2025-02-18 22:30:50,611 [DEBUG] views - Processing hotel: Canopy by Hilton San Francisco SoMa | Location: (37.78243, -122.40214)
2025-02-18 22:30:50,611 [DEBUG] views - Processing hotel: Hotel Stratford San Francisco - Handwritten Collection | Location: (37.78703, -122.40803)
2025-02-18 22:30:50,612 [DEBUG] views - Processing hotel: The Westin St Francis San Francisco on Union Square | Location: (37.7877, -122.4085)
2025-02-18 22:30:50,612 [DEBUG] views - Processing hotel: Chancellor Hotel on Union Square | Location: (37.78869, -122.40859)
